user_id,recency,frequency,monetary,surge_exposure(%),r,f,m,s,rfm_concat,rfm_score,riders_segmentation,weighted_score,weighted_segmentation
R00000,27,25,366.05,0.28,2,4,4,2,244,12,Regular Commuters,3.0,Average Risk Rider
R00001,7,14,180.53,0.21428571428571427,4,1,1,1,411,7,Occasional Riders,2.2,Average Risk Rider
R00002,16,24,378.99,0.375,2,4,4,3,244,13,Regular Commuters,3.0999999999999996,Loyal Rider
R00003,63,9,121.47,0.3333333333333333,1,1,1,2,111,5,At Risk Users,1.0999999999999999,Critical Risk Rider (likely churn)
R00004,14,16,268.43,0.4375,3,1,2,4,312,10,Occasional Riders,2.3000000000000003,Average Risk Rider
R00005,4,19,274.42,0.2631578947368421,4,2,2,1,422,9,Occasional Riders,2.7,Average Risk Rider
R00006,69,14,199.01,0.42857142857142855,1,1,1,4,111,7,Occasional Riders,1.2999999999999998,Critical Risk Rider (likely churn)
R00007,21,19,366.09000000000003,0.3684210526315789,2,2,4,3,224,11,Regular Commuters,2.5,Average Risk Rider
R00008,8,19,272.18,0.2631578947368421,3,2,2,1,322,8,Occasional Riders,2.3000000000000003,Average Risk Rider
R00009,82,14,253.57,0.5,1,1,1,4,111,7,Occasional Riders,1.2999999999999998,Critical Risk Rider (likely churn)
R00010,2,31,447.56,0.22580645161290322,4,4,4,1,444,13,Regular Commuters,3.6999999999999997,Loyal Rider
R00011,22,18,312.18,0.3333333333333333,2,2,3,2,223,9,Occasional Riders,2.2,Average Risk Rider
R00012,23,23,328.94,0.43478260869565216,2,3,3,4,233,12,Regular Commuters,2.6999999999999997,Average Risk Rider
R00013,49,14,226.87,0.14285714285714285,1,1,1,1,111,4,At Risk Users,0.9999999999999999,Critical Risk Rider (likely churn)
R00014,6,29,427.76,0.3103448275862069,4,4,4,2,444,14,Regular Commuters,3.8,Loyal Rider
R00015,8,26,405.48,0.4230769230769231,3,4,4,4,344,15,High‑Value Loyalists,3.6,Loyal Rider
R00016,23,20,308.93,0.1,2,2,3,1,223,8,Occasional Riders,2.1,Average Risk Rider
R00017,5,19,287.47,0.3684210526315789,4,2,2,3,422,11,Regular Commuters,2.9,Average Risk Rider
R00018,14,24,319.6,0.125,3,4,3,1,343,11,Regular Commuters,3.1000000000000005,Loyal Rider
R00019,6,26,461.88,0.34615384615384615,4,4,4,3,444,15,High‑Value Loyalists,3.8999999999999995,Loyal Rider
R00020,5,19,318.11,0.3157894736842105,4,2,3,2,423,11,Regular Commuters,3.0000000000000004,Loyal Rider
R00021,12,15,200.27,0.06666666666666667,3,1,1,1,311,6,At Risk Users,1.8000000000000003,Critical Risk Rider (likely churn)
R00022,16,18,259.07,0.3333333333333333,2,2,2,2,222,8,Occasional Riders,1.9999999999999998,Critical Risk Rider (likely churn)
R00023,14,22,310.88,0.2727272727272727,3,3,3,2,333,11,Regular Commuters,2.9000000000000004,Average Risk Rider
R00024,63,20,322.29,0.25,1,2,3,1,123,7,Occasional Riders,1.7000000000000002,Critical Risk Rider (likely churn)
R00025,4,13,206.02,0.3076923076923077,4,1,1,2,411,8,Occasional Riders,2.3000000000000003,Average Risk Rider
R00026,30,18,282.12,0.3888888888888889,1,2,2,3,122,8,Occasional Riders,1.7,Critical Risk Rider (likely churn)
R00027,8,24,413.08,0.375,3,4,4,3,344,14,Regular Commuters,3.5,Loyal Rider
R00028,59,18,283.57,0.3888888888888889,1,2,2,3,122,8,Occasional Riders,1.7,Critical Risk Rider (likely churn)
R00029,8,14,234.43,0.5,3,1,1,4,311,9,Occasional Riders,2.1,Average Risk Rider
R00030,21,16,234.1,0.25,2,1,1,1,211,5,At Risk Users,1.4000000000000001,Critical Risk Rider (likely churn)
R00031,16,25,419.52,0.56,2,4,4,4,244,14,Regular Commuters,3.1999999999999997,Loyal Rider
R00032,4,19,284.47,0.10526315789473684,4,2,2,1,422,9,Occasional Riders,2.7,Average Risk Rider
R00033,7,22,345.74,0.3181818181818182,4,3,3,2,433,12,Regular Commuters,3.3000000000000003,Loyal Rider
R00034,10,22,325.36,0.3181818181818182,3,3,3,2,333,11,Regular Commuters,2.9000000000000004,Average Risk Rider
R00035,7,11,181.79,0.5454545454545454,4,1,1,4,411,10,Occasional Riders,2.5,Average Risk Rider
R00036,15,24,339.99,0.3333333333333333,2,4,3,2,243,11,Regular Commuters,2.8000000000000003,Average Risk Rider
R00037,31,19,285.91,0.47368421052631576,1,2,2,4,122,9,Occasional Riders,1.7999999999999998,Critical Risk Rider (likely churn)
R00038,23,18,237.01,0.2777777777777778,2,2,1,2,221,7,Occasional Riders,1.7999999999999998,Critical Risk Rider (likely churn)
R00039,8,14,172.69,0.07142857142857142,3,1,1,1,311,6,At Risk Users,1.8000000000000003,Critical Risk Rider (likely churn)
R00040,11,15,195.9,0.26666666666666666,3,1,1,2,311,7,Occasional Riders,1.9000000000000001,Critical Risk Rider (likely churn)
R00041,2,17,245.22,0.35294117647058826,4,1,1,3,411,9,Occasional Riders,2.4,Average Risk Rider
R00042,22,17,227.24,0.35294117647058826,2,1,1,3,211,7,Occasional Riders,1.6,Critical Risk Rider (likely churn)
R00043,4,21,354.73,0.3333333333333333,4,3,3,2,433,12,Regular Commuters,3.3000000000000003,Loyal Rider
R00044,63,18,310.09000000000003,0.5,1,2,3,4,123,10,Occasional Riders,2.0,Average Risk Rider
R00045,31,18,299.44,0.3888888888888889,1,2,2,3,122,8,Occasional Riders,1.7,Critical Risk Rider (likely churn)
R00046,11,29,426.03,0.2413793103448276,3,4,4,1,344,12,Regular Commuters,3.3000000000000003,Loyal Rider
R00047,9,21,344.63,0.23809523809523808,3,3,3,1,333,10,Occasional Riders,2.8000000000000003,Average Risk Rider
R00048,2,21,313.11,0.47619047619047616,4,3,3,4,433,14,Regular Commuters,3.5,Loyal Rider
R00049,5,18,267.75,0.3888888888888889,4,2,2,3,422,11,Regular Commuters,2.9,Average Risk Rider
R00050,98,13,207.6,0.3076923076923077,1,1,1,2,111,5,At Risk Users,1.0999999999999999,Critical Risk Rider (likely churn)
R00051,18,22,303.25,0.2727272727272727,2,3,2,2,232,9,Occasional Riders,2.3000000000000003,Average Risk Rider
R00052,25,22,344.53,0.36363636363636365,2,3,3,3,233,11,Regular Commuters,2.5999999999999996,Average Risk Rider
R00053,4,19,283.79,0.2631578947368421,4,2,2,1,422,9,Occasional Riders,2.7,Average Risk Rider
R00054,6,15,249.13,0.2,4,1,1,1,411,7,Occasional Riders,2.2,Average Risk Rider
R00055,12,18,309.3,0.3888888888888889,3,2,3,3,323,11,Regular Commuters,2.7,Average Risk Rider
R00056,42,23,348.64,0.2608695652173913,1,3,3,1,133,8,Occasional Riders,2.0,Average Risk Rider
R00057,23,26,384.87,0.23076923076923078,2,4,4,1,244,11,Regular Commuters,2.9,Average Risk Rider
R00058,8,16,252.76,0.3125,3,1,1,2,311,7,Occasional Riders,1.9000000000000001,Critical Risk Rider (likely churn)
R00059,104,18,259.42,0.3888888888888889,1,2,2,3,122,8,Occasional Riders,1.7,Critical Risk Rider (likely churn)
R00060,9,19,271.8,0.2631578947368421,3,2,2,1,322,8,Occasional Riders,2.3000000000000003,Average Risk Rider
R00061,51,26,395.84,0.46153846153846156,1,4,4,4,144,13,Regular Commuters,2.8000000000000003,Average Risk Rider
R00062,27,22,344.3,0.18181818181818182,2,3,3,1,233,9,Occasional Riders,2.4,Average Risk Rider
